#NAME IN REPO,DESCRIPTION
atool,manages and gives information about archives
unrar,tool to (de-)compress archives
borgbackup,
calcurse,lightweight terminal-based calendar
dialog,
docx2txt,enables .docx file previews in vifm/terminal
exfat-fuse,allows management of FAT drives
fzf,fuzzy finder tool
highlight,highlight code output
htop,system usage information and displays processes
inxi,CLI system information tool
neofetch,displays basic system information
odt2txt,enables .odt file previews in vifm/terminal
openssh-server,
molly-guard,protects machines from accidental shutdowns/reboots (via ssh)
p7zip-full,tool to (de-)compress archives
python-llfuse,
procinfo,tools to display information from /proc and /sys
sshfs,FUSE-based filesystem client for mounting remote directories
tmux,terminal multiplexer
tree,lists directory contents like trees
w3m,terminal browser which can also view images
youtube-dl,download any YouTube video/playlist/channel) when given the link
#i3,
alacritty,terminal emulator
fonts-font-awesome,font for i3blocks
blueman,
feh,image viewer that also sets the wallpaper
g810-led,
gthumb,image viewer
hunspell-el,Gerek dicttianery
i3blocks,
i3,window manager
jq,Command-line JSON processor (used in a script)
maim,can take quick screenshots at your request
mpv,simple video/gif player
numlockx,turns on NumLock when you login
paprefs,advanced pulseaudio settings
pcmanfm,simple GUI file manager
playerctl,media control for some mediaplayers
xdotool,window action utilities on the command line (maim)
xbacklight,RandR-based backlight control application
xsettingsd,
#dev,
python-autopep8,
shellcheck,
    #exa,missing https://github.com/ogham/exa
    #sc-im,https://github.com/andmarti1424/sc-im
    #,--simple-mtpfs
    #brave-bin, missing
    #popcorntime, --missing
    #gxkb,not-in-list --xkb-switch !!!!!!!
#    >>>>>>>>docker-compose,https://docs.docker.com/engine/install/ubuntu/
#    >>>>>>>>docker,https://docs.docker.com/engine/install/ubuntu/
#    >python-pip, wait#    shfmt,missing https://github.com/tmknom/shfmt
