#TAG,NAME IN REPO,PURPOSE
,linux-headers,"are header files and scripts for building modules for Linux kernel"
,atool,"manages and gives information about archives."
,arch-audit," is a CVE monitoring utility."
,bc,"is an arbitrary precision calculator language."
,cronie,"is a daemon that runs specified programs at scheduled times."
,pacman-contrib,"provides scripts for pacman on Archlinux."
,bash-completion,"is what it sounds like."
,cmake,"is a cross-platform open-source make system."
,net-tools,", configuration tools for Linux networking."
,nmap,"is a network scanner."
,ufw,"is a netfilter firewall."
,openssh,"is a suite of security-related network utilities based on the ssh."
,sshfs,"is a FUSE-based filesystem client for mounting remote directories over ssh."
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
,p7zip,"is a tool to (de-)compress archives."
,unrar,"is a tool to (de-)compress archives."
,unzip,"is a tool to (de-)compress archives."
,lsd,"is the modern ls."
,calcurse,"is a lightweight terminal-based calendar."
,highlight,"can highlight code output."
,htop,"provides system usage information and displays processes."
,fzf,"is a fuzzy finder tool."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,neovim,"is terminal text editor."
,vifm,"is an extensive terminal file manager."
,w3m,"is a terminal browser which can also view images."
,mediainfo,"shows audio and video information and is used by ranger as well."
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
A,inxi,"is a CLI system information tool."
A,simple-mtpfs,"enables the mounting of cell phones outside of pcmanfm."
